iso_alpha3,country_name,postal_code_regex,address_format_mask,street_keywords,neighborhood_keywords,unit_keywords
CYM,Cayman Islands,^KY\d\-\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CAF,Central African Republic,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
TCD,Chad,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CHL,Chile,^(?:\d{7}|\d{3}\-\d{4})$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CHN,China,^\d{6}$,%P %C %S %N %I\n%Z,"街|gaai1|路|lou6|гэдо|gedo|гэ|ge|хонзы|honzɨ|gă̤|gai1|街路|ke-lō͘, koe-lō͘|jie1|jiē|lù|馬路|马路|mǎlù|jiēlù|街道|jiēdào|1ka|1ka-lu",,"公寓|gung1 jyu6|柏文|paak3 man4|雅柏文|ngaa5 paak3 man4, aa6 paat1 man4, aa6 paat1 man4-2|kûng-ngi|kong-gū, kong-gī, kong-ú|a-phá-tò|gōngyù|套間|套间|tàojiān|套房|tàofáng|1kon-gniu; 1kon-yu"
CXR,Christmas Island,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CCK,Cocos (Keeling) Islands,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
COL,Colombia,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
COM,Comoros,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
COD,Congo (Democratic Republic),,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
COG,Congo (Republic),,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
COK,Cook Islands,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CRI,Costa Rica,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
HRV,Croatia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CUB,Cuba,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CUW,Curaçao,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CYP,Cyprus,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
CZE,Czechia,^\d{3}\ \d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
DNK,Denmark,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
DJI,Djibouti,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
DMA,Dominica,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
DOM,Dominican Republic,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ECU,Ecuador,^\d{6}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
EGY,Egypt,^\d{7}$,%N %S %I\n%C\n%P\n%Z,شَارِع|šāriʕ|زَنَقَة|zanaqa|شارع|شارِع|زنقة|zanqa,,"شَقَّة|šaqqa|شقة|šaʔʔa|šuqqa|برطمة|barṭma, parṭma|برطمان|barṭamān"
SLV,El Salvador,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
GNQ,Equatorial Guinea,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ERI,Eritrea,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
EST,Estonia,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
SWZ,Eswatini,^[A-Z]\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ETH,Ethiopia,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
FLK,Falkland Islands,^FIQQ\ 1ZZ$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
FRO,Faroe Islands,^FO\-\d{3}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
FJI,Fiji,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
FIN,Finland,^\d{5}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
FRA,France,^\d{5}$,%N %S\n%Z %C,rue,,appartements
GUF,French Guiana,^973\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
PYF,French Polynesia,^987\d{2}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
ATF,French Southern Territories,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
GAB,Gabon,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
GMB,Gambia,,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
GEO,Georgia,^\d{4}$,%N %S\n%P %C,street|st|road|rd|avenue|ave,neighborhood|suburb|district,apartment|apt|unit|suite|ste
DEU,Germany,^\d{5}$,%S %N\n%Z %C,straße|stråßn|strossn|schdrooß,,wohnung|appartement
